claim_id,claim,status,permitted_wording,forbidden_stronger_wording,evidence_basis,required_qualifier,scope,phase_source
L01,repeated exposure vs t_button,SUPPORTED_WITH_QUALIFIER,"Within participants, t_button decreased modestly with repeated exposure (−0.033 s per exposure, 95% CI −0.058 to −0.007; about −0.26 s over 8 exposures); the association is not explained by short-term carry-over.",Drivers learned to take over faster; practice causes faster takeovers; training reduces takeover time.,R2B participant-FE model with cluster-robust CI; early-vs-late Wilcoxon p = 0.006; R2C carry-over models (slope change 3–4%),"Associational only. On exposures 2–9 the cluster-robust CI includes 0. The per-exposure change is below the 0.05 s sampling interval. Scenario familiarity, not vehicle learning.","D003 simulator takeovers (492 anchorable trials, 57 participants)",R2B; R2C-lite
L02,participant covariates vs t_button,SUPPORTED_WITH_QUALIFIER,"No association between t_button (participant median or exposure slope) and years of driving, annual mileage, driving frequency or ADAS-use frequency survived Holm correction.",Driving experience or ADAS use has no effect on takeover; ADAS users take over faster.,R2C-lite Spearman with bootstrap CI and HC3 OLS; Holm within 8 tests; largest raw effect ADAS use ρ −0.28 (Holm p 0.30),"n = 57, low power. Single self-report items. Secondary re-analysis of variables the owners already analysed. The questionnaire-ID join is strongly supported but not explicit. Experience is confounded with age (ρ 0.85).",57 participants,R2C-lite
L03,t_button as driver reaction time,BLOCKED,"t_button is the latency from TOR to the participant pressing the mode-switch button (median 1.65 s, IQR 1.25–2.00).",Driver reaction time / takeover time / time to effective control is 1.65 s.,Data dictionary (Time_Manual_Start = switch pressed); R4V (control channels not driver-only; no effective-control event),HMI event latency only.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R2B; R4; R4V
L04,t_button as R3B t1,BLOCKED,R3B t1 is an explicit assumption interval (1.15–3.0 s; supplement 4.0 s); no D003 quantity is substituted for it.,R3B t1 is calibrated from / validated by D003; t_button bounds effective braking onset.,R3B §3 parameter classes; R4 link 't_button → t1' NOT IDENTIFIABLE; R4V brake onset MIXED_OR_AMBIGUOUS,Different events: mode switch vs effective braking onset.,R3B / D003 interface,R3B; R4; R4V
L05,D003 brake onset,BLOCKED,"The D003 brake channel carries scripted, cell-locked automation braking before Manual_Start; it is active at Manual_Start in 54% of trials and releases about 0.95 s later. A driver brake onset is not identifiable.",Drivers began braking X s after TOR; brake-first vs steer-first strategies.,"R2A (B17); R4V cell stereotypy, straddle and ICC analysis","Clean post-transient onsets (median MS + 1.20 s) are not cell-scripted but show no participant structure, and follow automation braking.","D003 simulator takeovers (492 anchorable trials, 57 participants)",R2A; R4V
L06,D003 braking strength,BLOCKED,Driver braking strength is not identifiable from D003.,Drivers braked with X N / X% pedal; density triples brake force.,"R4V: unit conflict (N vs pedal position), automation content straddles Manual_Start, possible cap at 400","R3B uses u = 1 as a capability bound, not a behaviour.","D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V
L07,Manual_Start as longitudinal authority transfer,BLOCKED,"In the logged signals, longitudinal (brake/accelerator) content from before Manual_Start persists for about 1 s after it; Manual_Start does not mark a clean longitudinal authority boundary.",Longitudinal authority transfers at Manual_Start; from Manual_Start the driver controls braking.,R4V straddle analysis; no mode/authority flag (state = 2.0 constant),Authority timing remains an explicit R3B assumption.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V
L08,Manual_Start as switch to manual mode / manual-input enablement,SUPPORTED_WITH_QUALIFIER,Manual_Start is documented as the button-triggered switch to manual mode that enables manual inputs. Lateral signals are consistent with this (no left indicator and no primary-rule steering activity between TOR and Manual_Start).,Manual_Start is the moment the driver takes effective control.,Data dictionary; owners' paper (S17); R4 internal audit; R4V; R4V-D ordering checks,"Documented design intent; the behavioural check is consistent only for lateral channels, not longitudinal ones.","D003 simulator takeovers (492 anchorable trials, 57 participants)",R4 internal audit; R4V; R4V-D
L09,steering onset timing,PROVISIONAL,"A steering-angle activity onset (primary causal detector: signed rise > 0.05 rad above the running minimum since Manual_Start, sustained 0.25 s) occurs a median 2.10 s after Manual_Start (IQR 1.30–3.13, n = 491); across alternative detectors the median ranges from 1.4 to 3.0 s.",Drivers start steering 2.1 s after taking over; steering reaction time.,"R4V-D detector comparison, event table and ordering checks",Derived signal event; detector-dependent; authorship PLAUSIBLE_BUT_UNVERIFIED.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V-D
L10,steering onset → lane crossing,PROVISIONAL,"Lane crossing follows the steering-activity onset by a median 2.45 s (IQR 2.00–3.30, n = 477); the onset precedes crossing in 98.3% of trials.",Lane-change manoeuvre duration; steering execution time.,R4V-D,Inherits the onset caveats; lane crossing itself is validated.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V-D
