row_id,element,quantity,definition,candidate_symbol,evidence_source_ids,evidence_kind,context,reported_value_or_rule,units,confidence,observable_in_D003,status,notes
T01,TOR timing,TOR lead (TTC at TOR),time-to-collision with the hazard when the request is issued,T_TOR,S17;S18;S09,protocol / design variable,D003: fixed; literature: varied 4-10 s (literature matrix L001/L002/L007),D003: 7 s before collision (TTC-triggered); multi-TOR values in 26 trials (B1),s,HIGH (D003 protocol),YES (event marker),POLICY VARIABLE,"Design choice of the system / experiment, not a physical constant."
T02,human takeover time (interface to layer B),takeover time distribution,time from TOR to a takeover action (definition varies by study),TOT,S09,meta-analysis,129 studies,mean 2.72 s (SD 1.45) between studies; strongly associated with time budget (r = 0.73),s,MEDIUM,PARTIAL (t_button only; B7/B17),DISTRIBUTION,"Depends on the time budget itself, so TOT is not independent of T_TOR."
T03,regulatory timing of MRM after a transition demand,earliest MRM start without driver response,time after the start of a transition demand before an MRM may start if the driver has not deactivated the system,T_MRM_min,S02;S31,regulation (official text),ALKS / UN R157,"R157 §5.4.4.1: MRM 'shall be started, earliest 10 s after the start of the transition demand' if the driver does not deactivate; §5.4.4.1.1: immediately on severe ALKS/vehicle failure; §5.4.3.2: escalation at the latest 4 s after the start; §5.4.4: the demand ends only at deactivation or MRM start; §2.3: transition phase = duration of the transition demand",s,HIGH,NO (D003 is not an R157 system),BOUNDED,Correction (R3B-0): '10 s transition period' was an oversimplification. The regulation sets an earliest MRM start of 10 s; the transition phase has no fixed length and ends at deactivation or MRM start. It is not a takeover-time requirement.
T04,continued automation control after TOR,automation behaviour between TOR and effective human control,whether and how automation keeps lateral / longitudinal control after the request,u_auto(t),S02;S31;S12;S13;S28,regulation (official text); simulation model; project observation,R157 §5.4.3 (both series): during the transition phase the system 'shall continue to operate' and may reduce speed but not bring the vehicle to standstill unless required by the situation; SUMO/TransAID preparatory phase,R157 rule; SUMO behaviour; D003 cell-specific actuator changes at TOR (B17),-,HIGH (regulation) / MEDIUM (model),"PARTIAL (patterns seen, semantics undocumented)",POLICY VARIABLE,This is the main source of automation-commanded a_pre (headway enlargement = deceleration).
T05,authority transfer event,time when a control channel becomes human-authoritative,moment the human's input takes priority on a channel (override / deactivation),T_authority,S02;S31;S10;S18;S17,regulation (official text); taxonomy; dataset,"R157 §6.2.5.2: during a transition demand the system shall only be deactivated by (a) a steering override while holding the steering control or a brake/accelerator override while holding it (§6.2.5.1), or (b) detection that the driver holds the steering control and is attentive (§6.3.1.1). §6.3.2: braking overrides longitudinal control only if it yields higher deceleration than the system; §6.3.3: accelerator input may override; §6.3.1: steering override needs force and duration thresholds. D003: mode-switch button (Manual_Start).","for R157 systems: conditional, per-channel, threshold-based; for D003: not identified",s,HIGH (R157 rule) / LOW (D003),"NO (Manual_Start authority UNRESOLVED, B7; channels not driver-only, B17)",NOT IDENTIFIABLE,Authority transfer is channel-specific and conditional on holding the steering control; it is not TOR and not a button press by definition. Code assumes T_authority = TOR.
T06,effective human control,time of first effective human input on the relevant channel,first human input that changes vehicle motion,T_effective,S28,project observation,D003,not measurable (B17),s,-,NO,NOT IDENTIFIABLE,"Distinct from TOR, from Manual_Start and from authority transfer."
T07,shared control,concurrent human-automation authority,both agents act on the same control channel with arbitration,-,S11,review / taxonomy,haptic / arbitrated shared control,no transition parameters,-,LOW,NO,NOT IDENTIFIABLE,Conceptual layer element; no parameterisation available.
T08,automation withdrawal (immediate release),W1-type withdrawal,automation releases propulsion / control at TOR without continued support,W1,S02;S31;S12,counterfactual,"R157 §5.4.3 requires continued operation during the transition phase, so immediate release is not R157-compliant behaviour",counterfactual bound,-,MEDIUM,UNKNOWN (possibly in some D003 cells; B17),POLICY VARIABLE,"Retained as a counterfactual bound, not a representative policy."
T09,minimum-risk manoeuvre deceleration,a_MRM,deceleration applied by the system when the human does not take over,a_MRM,S02;S31;S13;S15,regulation (official text); software default; standard scope,R157 in-lane MRM; SUMO default; ISO 23793-1 types,"R157 Rev.1 §5.5.2 (00 series §5.5.1): slowed down 'with an aim of achieving a deceleration demand not greater than 4.0 m/s2'; higher demand permissible for very short durations (e.g. haptic warning) or on severe failure. Rev.1 §5.5.1: stop in a target stop area, with MRM lane change if capable. SUMO default mrmDecel 1.5 m/s2 (software). ISO 23793-1 numbers not accessed.",m/s2,HIGH (R157 wording),NO,BOUNDED,"Correction (R3B-0): 4.0 m/s2 is a design aim for the deceleration demand, not a hard maximum of achieved deceleration."
T10,MRM trigger timing,when an MRM starts,time after the transition demand at which the system begins the MRM,T_MRM,S02;S31;S13,regulation (secondary quotation); software model,R157; SUMO,R157 §5.4.4.1 / §5.4.4.1.1 (see T03); SUMO: after the ToC lead time,s,HIGH (R157),NO,POLICY VARIABLE,-
