parameter,mechanism,candidate_range,unit,evidence_class,source,source_type,population_or_vehicles,conditions,confidence,notes,safe_to_use_in_phase1
a_max_normal,Normal comfortable deceleration,~1-3,m/s^2,LITERATURE_CONSTRAINED,General vehicle-dynamics / comfort-standards references,secondary engineering references + comfort-standards review,generic passenger vehicles,normal driving,LOW-MEDIUM,"Numbers gathered from general engineering references, not a single peer-reviewed measurement for this project; adequate only as an order-of-magnitude sensitivity bound.","yes (as a bounded sensitivity value, not a point estimate)"
a_max_emergency,Maximum achievable emergency deceleration,"~8-9 (dry road, modern passenger car)",m/s^2,LITERATURE_CONSTRAINED,General vehicle-dynamics references (forum/engineering summaries),secondary/tertiary (non-peer-reviewed for the exact figure),modern passenger cars with ABS,dry road; firm/panic braking,LOW-MEDIUM,"Consistent across several non-peer-reviewed engineering sources (8-9 m/s^2), but no single peer-reviewed primary source was retrieved with an exact figure for generic passenger vehicles. Treat as a plausible working bound, not a citation-grade constant. Held CONSTANT across profiles in Phase 1A (see phase1A_parameter_table.csv).",yes (bounded sensitivity value only; do not present as an observed calibration)
a_max_emergency_field_variation,Real inter-manufacturer variation in braking-rate scaling with speed under automated (AEB) control,~0.6 m/s^2 additional mean/max deceleration per 10 km/h test-speed increase for superior- vs basic/advanced-rated AEB systems,m/s^2 per 10 km/h,OBSERVED,L011 - IIHS front crash prevention program characterisation study,peer-reviewed empirical field test,>180 vehicles; 31 manufacturers; MY2013-2018,AEB-controlled braking (not human takeover braking),HIGH (for the AEB context) / NOT DIRECTLY TRANSFERABLE to human-driver takeover braking,"Strongest real-data evidence that distinct control architectures produce measurably different deceleration signatures. Must be labeled explicitly as AEB (automation-controlled) evidence, not human post-takeover braking evidence, when cited in Experiment A framing.","yes (as qualitative justification for profile realism, not as a numeric input to P1-P4)"
brake_response_delay,Time from brake-command onset to meaningful deceleration build-up (t_delay),"0.05-0.17 (conventional hydraulic friction brake, RESOLVED in Phase 0.2)",s,OBSERVED,"Paquette & Porter (2014), Accident Reconstruction Journal 24(2):19-21, ""Brake Timing Measurements and the Effect of Brake Lag on Deceleration Rates for Light Passenger Vehicles""","professional/trade journal (accident reconstruction specialists) - professionally vetted, not academic peer review",4 instrumented light passenger vehicles,"hard braking test, conventional hydraulic friction brake",MEDIUM,"UPDATED in Phase 0.2: full-text-equivalent retrieval succeeded. 0.05-0.17s brake lag, 3-10 ft travelled during lag. L004's throttle-to-brake TRANSITION timing (a separate, earlier phase - see Δt_transfer in phase1A_parameter_table.csv) remains unresolved. Do not merge with FMVSS 121 air-brake timing (0.35-0.6s, heavy vehicles, different actuation technology - explicitly excluded).",yes - for the friction-brake onset-delay parameter specifically (see phase1A_parameter_table.csv row t_delay)
deceleration_buildup_time,Time to reach maximum/peak deceleration (t_buildup),"1.75-2.0 (PARTIAL anchor found in Phase 0.2 - human-inclusive, not pure vehicle-hardware)",s,LITERATURE_CONSTRAINED (partial),"Influence of Pedestrian Collision Warning Systems on Driver Behavior: A Driving Simulator Study, arXiv:2112.09074",preprint / simulator study,not specified in accessible summary,"driving-simulator pedestrian-collision-warning scenario, human driver on brake pedal",LOW-MEDIUM,"UPDATED in Phase 0.2. This figure conflates human pedal-application dynamics with vehicle mechanical response; Phase 1A's model treats these as separate (control_input_definition.md), so use only as an upper-bound plausibility ceiling for t_buildup, not a precise vehicle-hardware value. Still the weakest-anchored of the primary architecture-shape parameters.",yes - as a plausibility ceiling only (see phase1A_parameter_table.csv)
jerk_comfort_range,Passenger-comfort jerk bound,approx +/-1 to +/-2.5 m/s^3 (stricter studies: +/-1 m/s^3; ISO 22179 allows -2.5 to -5 m/s^3 depending on speed),m/s^3,LITERATURE_CONSTRAINED,"ISO 22179 (ACC standard, cited via secondary sources) + ""Standards for passenger comfort in automated vehicles: Acceleration and jerk"" (2022, Accident Analysis & Prevention)",standard + peer-reviewed review,not vehicle-specific,"normal/ACC-style deceleration, not emergency braking",MEDIUM,"Reasonably convergent across sources for COMFORT-range jerk. Do not apply this range to emergency braking, where higher jerk is both expected and arguably required.",yes (for comfort-condition sensitivity runs only)
jerk_naturalistic_99th,Non-emergency naturalistic-driving jerk ceiling (plausibility floor for build-up parameterisation),2.6,m/s^3,OBSERVED,"Feng, Z. et al. (2017), Accident Analysis & Prevention, ""Can vehicle longitudinal jerk be used to identify aggressive drivers? An examination using naturalistic driving data""",peer-reviewed empirical (naturalistic driving),not vehicle-specific (fleet naturalistic driving),"human-driven, normal (non-emergency) driving; jerk computed over 0.3s window on 1s-smoothed acceleration",MEDIUM-HIGH,NEW in Phase 0.2. Use only as a non-emergency plausibility floor when checking implied jerk from chosen t_delay/t_buildup values (vehicle_response_model.md) - do NOT use as an emergency-braking jerk ceiling.,"yes - as a monitored/derived plausibility check only, not a free input (see vehicle_response_model.md)"
jerk_emergency_range,Emergency-braking jerk magnitude for human-driven braking,STILL not numerically established,m/s^3,GAP (confirmed unresolved after Phase 0.2 targeted search),"L011 (AEB jerk trend with speed, direction only, not absolute magnitude); a candidate 5.3 m/s^3 / 3.6 m/s^2 90th-percentile figure was found in search summaries but could not be traced to a verifiable source and is EXCLUDED","peer-reviewed empirical (AEB, not human takeover) for L011 only",>180 vehicles (L011),AEB-controlled emergency braking (L011); untraceable claim excluded,LOW,Remains the weakest-constrained profile parameter in the whole project. Phase 0.2 explicitly searched for and rejected an untraceable numeric claim rather than use it - see phase1A_parameter_table.csv row jerk_emergency_human for the exclusion record.,no - treat as COUNTERFACTUAL; sanity-check against jerk_naturalistic_99th and jerk_comfort_range only
regen_deceleration_range,Regenerative-braking-only deceleration magnitude (a_coast),1-4 (also reported as 0.1-0.3 g fixed-mode) - RESOLVED (partial) in Phase 0.2,m/s^2,LITERATURE_CONSTRAINED (dataset documentation),OpenLKA EV Kinematic Dataset README (D004) documented parameter description; L006 (SAE 2023-01-0623) qualitative corroboration only,"dataset-maintainer documentation (D004, not yet independently cross-checked against raw files) + peer-reviewed conference paper abstract (L006)",9 EV models (D004); 6 EV models (L006),regen-only deceleration across production EVs,MEDIUM,"UPDATED in Phase 0.2: D004's own README gives a working numeric range where L006's exact figures remain paywall-blocked (SAE full text and ResearchGate mirror both inaccessible in this pass - ResearchGate returned HTTP 403). Use D004's range as the working anchor; treat as MEDIUM (not HIGH) confidence since it is dataset-maintainer documentation, not yet independently verified against raw files.",yes - as a working range for a_coast (see phase1A_parameter_table.csv); still flag as pending file-level verification
low_speed_regen_behaviour,Regen deceleration reduction near standstill (v_rolloff),qualitatively confirmed to exist across multiple independent engineering sources; STILL no numeric threshold or fade rate found,m/s^2 / km/h threshold,LITERATURE_CONSTRAINED (qualitative only),General EV powertrain engineering references (regen torque-speed dependence) + patent literature on creep-torque phase-out control,secondary/tertiary engineering references + patent descriptions,generic EV regen systems,low-speed approach to standstill,LOW-MEDIUM,"UPDATED in Phase 0.2: mechanism confirmed by multiple independent engineering sources (regen torque is inherently speed-dependent and fades near zero speed; creep-torque control deliberately phases out regen at low speed) - qualitatively stronger than Phase 0.1's single-source finding, but still no numeric threshold speed or fade curve located. This is the weakest-anchored of the four retained free parameters in vehicle_response_model.md.",no - qualitative motivation only; requires numeric anchor before being encoded as more than a COUNTERFACTUAL shape feature
