id,theme,source,evidence_type,sample_or_scope,key_supported_point,project_role,phase,status,url
L001,TOR time budget,"Deng et al. (2024), Transportation Research Part F",systematic review,75 studies,No single takeover time budget satisfies all scenarios; dynamic time budget is motivated.,Supports treating TOR budget as scenario-dependent rather than a fixed universal constant.,"0,3",KEEP,https://www.sciencedirect.com/science/article/pii/S1369847824001451
L002,Takeover time budget,"Liang, Calvert & van Lint (2026), IJHCI / Human Factors literature (via PubMed 42283150)",systematic review,100 articles,Takeover time varies substantially across drivers/scenarios; sufficient time-budget design requires context.,Recent support for adaptive / contextual handover budgeting.,"0,3",KEEP,https://pubmed.ncbi.nlm.nih.gov/42283150/
L003,Critical braking takeover,"Roche, Thüring & Trukenbrod (2020), Accident Analysis & Prevention",driving simulator experiment,42 non-distracted participants; 9 critical braking situations,"Drivers took over quickly but often braked/changed lane more strongly than necessary, increasing risk.",Supports fast takeover != safe recovery and motivates post-takeover recovery metrics.,"0,3,5",KEEP,https://www.sciencedirect.com/science/article/pii/S0001457520301044
L004,Regenerative / one-pedal braking,One-pedal or two-pedal: Does the regenerative braking system improve driving safety? (2024)- ScienceDirect,driving simulator experiment,lead-vehicle braking across urgency/headway conditions,"One-pedal mode did not change event perception but showed longer throttle-to-brake transition and more variable brake timing; safer than two-pedal in low urgency, less safe in high urgency.",Direct evidence that braking/control architecture can alter emergency control behaviour; motivates Experiment A profiles P2/P4.,"0,1A,2",KEEP,https://www.sciencedirect.com/science/article/abs/pii/S0001457524003774
L005,Driving experience and takeover,"Chen et al. (2021), Transportation Research Part F",driving simulator experiment,48 participants; novice vs experienced; 5s/7s budgets,"Driving experience affected takeover stability/adaptability, with interactions involving time budget and secondary task.","Supports later human-model / familiarity interaction work, but not a direct ICE-vs-EV prior claim.","0,2",KEEP_AS_INDIRECT,https://www.sciencedirect.com/science/article/pii/S1369847821001145
L006,EV regenerative deceleration,"Vigil, Kaayal & Szepelak (2023), SAE Technical Paper 2023-01-0623",multi-vehicle empirical test,"Rivian R1T, Tesla Model Y/3, Hyundai Ioniq 5, VW ID.4, Ford Mustang Mach-E",Production EVs show materially different regenerative deceleration behaviours; not all regen modes bring vehicles to a full stop.,Constrains generic EV-like braking profiles without requiring proprietary OEM maps. NOTE: exact numeric deceleration values not yet extracted from full text — paywalled; treat magnitudes as unverified until full-text retrieval.,"0,1A",KEEP_PENDING_FULLTEXT,https://saemobilus.sae.org/papers/quantifying-deceleration-various-electric-vehicles-utilizing-regenerative-braking-2023-01-0623
L007,TOR time budget,"A quantitative model of takeover request time budget for conditionally automated driving (2024), arXiv:2408.15682",modeling study / preprint,not independently peer-reviewed at time of audit,Proposes a formula estimating required TOR time budget from scenario variables.,Candidate formal structure for treating TOR budget as scenario-dependent rather than fixed; preprint status means findings are provisional.,"0,3",KEEP_AS_INDIRECT,https://arxiv.org/abs/2408.15682
L008,Takeover performance metrics,A Systematic Review of Metrics Measuring Takeover Performance in Conditionally Automated Driving (2025)- International Journal of Human-Computer Interaction,systematic review,studies Jan 2009-Dec 2019,Catalogs and compares metrics used to quantify takeover performance across the field.,Informs candidate operational definitions for t_stabilise and N_correction so Phase 1 outcome metrics are not invented in isolation.,"0,1A",KEEP,https://www.tandfonline.com/doi/full/10.1080/10447318.2025.2552863
L009,Post-takeover stabilisation,Post-Takeover Proficiency in Conditionally Automated Driving: Understanding Stabilization Time with Driving and Physiological Signals (2024)- Sensors 24(10):3193,driving simulator study,not stated in accessible summary,"Driving-related stabilisation (steering, speed) is typically reached ~8-10 s after takeover; physiological recovery (heart rate, skin conductance) is slower and lags behind driving-metric stabilisation.",PRIMARY empirical anchor for freezing the Phase-0-checklist item ``define t_stabilise''; also cautions that a single-signal stabilisation definition may understate recovery time.,"0,1A",KEEP,https://pmc.ncbi.nlm.nih.gov/articles/PMC11125338/
L010,Takeover modeling review,"McDonald, Alambeigi, Engström, Markkula, Vogelpohl, Dunne & Yuma (2019), Human Factors",systematic / modeling review,review of empirical and computational takeover literature,Reviews cognitive and control-theoretic models of takeover braking/steering; notes existing manual-driving braking and steering models are treated as plausibly transferable to takeover modeling.,"CLOSEST identified broad review to the project's mother question. Does not treat vehicle longitudinal-response architecture (regen/blended/delayed braking) as a systematically varied takeover factor -- used as the main comparator in the gap audit.",0,KEEP,https://doi.org/10.1177/0018720819829572
L011,Braking-architecture heterogeneity (non-takeover),Characteristics of automatic emergency braking responses in passenger vehicles evaluated in the IIHS front crash prevention program (2023)- Accident Analysis & Prevention,empirical field test,>180 vehicles; 31 manufacturers; model years 2013-2018,"Different manufacturer AEB systems show measurably different braking-onset TTC thresholds, deceleration-rate scaling with speed (~0.6 m/s^2 per 10 km/h difference between superior- and basic-rated systems), and opposite jerk trends with speed.","STRONG real-world evidence that distinct control architectures (not vehicle mass or propulsion type) produce measurably different deceleration/jerk signatures. Supports the physical plausibility of Experiment A's P1-P4 profiles. This is AEB control behaviour, not human-driver takeover behaviour -- must not be over-extended to claim it is takeover evidence.","0,1A",KEEP,https://www.sciencedirect.com/science/article/abs/pii/S0001457523001975
L012,Driver internal-model adaptation,Sensorimotor adaptation when steering with altered vehicle dynamics (2018)- Transportation Research Part F,experimental study,driving simulator; steering-gain manipulation,"Subtle steering-gain changes produce rapid adaptation with no after-effects; large/reversed gain changes produce slower adaptation and after-effects on return to baseline dynamics.",Direct empirical basis that mismatch effects are magnitude-dependent and non-linear -- informs how M_mismatch should eventually be parameterised (Gate C / D004) once the driver-vehicle mismatch branch is reopened.,"0,2",KEEP,https://www.sciencedirect.com/science/article/abs/pii/S1369847817303364
L013,Acceleration authority / risk-state escalation,The impact of electric vehicle's strong acceleration performance on traffic safety risks at signalized intersections: A case study in China (2025)- ScienceDirect,empirical field study,signalized intersections; EV vs ICE acceleration comparison,EVs' stronger low-speed acceleration is associated with measurable shifts in TTC-based surrogate safety indicators at intersections.,"Real-world evidence that acceleration-authority differences change kinematic risk exposure at the traffic-conflict level. Does NOT test human-fallback recovery margin after a hazard/TOR event -- it is traffic-conflict evidence, not takeover evidence. Motivates but does not establish the project's specific risk-state-escalation mechanism (Gate B).","0,1B",KEEP_AS_INDIRECT,https://www.sciencedirect.com/science/article/pii/S2046043025000504
