name,role,unit,fixed_vs_varied,parameter_class,value_or_range,evidence_provenance,part_of_a1_treatment,held_constant,sensitivity_only,notes
t_reaction,human_driver_reaction_time,s,fixed,EMPIRICAL_RANGE,1.0 (range 0.7-1.5),General reaction-time literature + L014,False,True,False,Frozen human reaction time. Bounded by expected (0.7s) and surprise (1.5s) paradigms.
u_human_accel,human_accelerator_command,dimensionless,fixed,CONTROLLED,0.0,control_input_definition.md,False,True,False,Identically 0.0 for all t per L3 out-of-loop handover framing.
u_human_brake_target,human_brake_target_demand,dimensionless,fixed,CONTROLLED,1.0,control_input_definition.md,False,True,False,Normalized step command to full demand at t_reaction.
a_max,maximum_braking_deceleration,m/s^2,fixed,EMPIRICAL_RANGE,8.5 (range 8.0-9.0),General vehicle dynamics consensus / dry asphalt AEB,False,True,False,Held constant across all compared profiles to isolate transient shape from capacity.
t_delay,brake_actuation_delay,s,fixed,EMPIRICAL_RANGE,0.10 (range 0.05-0.17),Paquette & Porter (2014) Accident Reconstruction Journal 24(2):19-21,False,True,False,Hydraulic friction brake response delay. Held constant across R0/R2.
withdrawal_policy,automation_handover_withdrawal_mode,category,varied,TREATMENT,W0 vs W1,control_ownership_timeline.md / docs/CAUSAL_MODEL.md,True,False,False,"W0: automation maintains v0 until t_reaction; W1: automation withdraws at t=0, coasting until t_reaction."
a_coast,uncommanded_withdrawal_deceleration,m/s^2,varied,EMPIRICAL_RANGE,"0.0 (no-coast) vs 1.0-4.0 (regen-active, nominal 2.0)",OpenLKA EV Kinematic Dataset fleet D004 + SAE 2012-01-0616 coast-down,True,False,False,Active only during [0 t_reaction) under W1. Distinguishes coast-down dynamics.
t_buildup,deceleration_ramp_time,s,varied,COUNTERFACTUAL_SENSITIVITY,"0.0 (R0) vs 0.50 (R2, sweep 0.1-0.7)",arXiv:2112.09074 (downgraded to counterfactual in Phase 0.3),True,False,False,Linear ramp time from actuation delay to a_max.
v0,initial_ego_speed,m/s,varied_scenario,CONTROLLED,"20.0 (72 km/h), 30.0 (108 km/h)",project_charter.md / experiment_A_spec.md,False,False,False,Controlled initial cruise speed at TOR issuance.
tor_lead_time,takeover_request_lead_time,s,varied_scenario,CONTROLLED,"1.5 to 4.0 (easy, marginal, hopeless bands)",gate_A_preregistration.md / metric_definitions.md,False,False,False,Determines reference hazard distance x_hazard = v0 * tor_lead_time.
road_friction,tire_road_friction_coefficient,dimensionless,fixed,CONTROLLED,1.0 (dry asphalt sensitivity 0.7),gate_A_preregistration.md,False,True,False,Nominal dry asphalt road condition.
v_rolloff_active,low_speed_regen_fade_flag,boolean,fixed_core,COUNTERFACTUAL_SENSITIVITY,False (core) / True (sensitivity),vehicle_response_model.md,False,False,True,Low-speed roll-off fade. Retained sensitivity-only; not required for core A1 claim.
v_threshold,rolloff_activation_threshold_speed,m/s,fixed_core,COUNTERFACTUAL_SENSITIVITY,5.0 (range 3.0-7.0),EV powertrain explainers + patent literature,False,False,True,Speed below which regen torque fades toward standstill.
floor,residual_deceleration_fraction,dimensionless,fixed_core,COUNTERFACTUAL_SENSITIVITY,0.2 (range 0.1-0.4),EV powertrain explainers + patent literature,False,False,True,Residual deceleration fraction approaching standstill.
dt,numerical_integration_timestep,s,fixed,CONTROLLED,0.001 (sensitivity halving 0.0005),docs/MINIMAL_SIMULATOR_SPEC.md,False,True,False,Validated nominal timestep in A0 (convergence order p=1.0001).
